Name,Rank,Number,Percent
NICKOLAS,671,14590,0.01
NICOLAS,427,35015,0.024
NIGEL,886,8754,0.006
NOAH,458,32097,0.022
NOE,658,16049,0.011
NOEL,383,43769,0.03
NOLAN,597,18966,0.013
NORBERT,594,18966,0.013
NORBERTO,902,8754,0.006
NORMAN,113,258236,0.177
NORMAND,897,8754,0.006
NORRIS,643,16049,0.011
NUMBERS,753,11672,0.008
OCTAVIO,786,11672,0.008
ODELL,694,14590,0.01
ODIS,939,7295,0.005
OLEN,958,7295,0.005
OLIN,922,8754,0.006
OLIVER,319,58358,0.04
OLLIE,670,14590,0.01
OMAR,340,52523,0.036
ORLANDO,332,53982,0.037
ORVAL,954,7295,0.005
ORVILLE,430,35015,0.024
OSCAR,151,177993,0.122
OSVALDO,894,8754,0.006
OTIS,316,59817,0.041
OTTO,504,26261,0.018
OWEN,410,37933,0.026
PABLO,338,52523,0.036
PARKER,878,8754,0.006
PASQUALE,744,11672,0.008
PAT,457,32097,0.022
PATRICK,42,567536,0.389
PAUL,13,1383095,0.948
PEDRO,177,150273,0.103
PERCY,465,30638,0.021
PERRY,287,71489,0.049
PETE,365,46687,0.032
PETER,43,555864,0.381
PHIL,460,30638,0.021
PHILIP,95,287415,0.197
PHILLIP,87,310759,0.213
PIERRE,531,23343,0.016
PORFIRIO,938,7295,0.005
PRESTON,360,49605,0.034
PRINCE,937,7295,0.005
QUENTIN,562,21884,0.015
QUINCY,675,14590,0.01
QUINN,994,7295,0.005
QUINTON,600,18966,0.013
RAFAEL,207,118176,0.081
RALPH,62,411427,0.282
RAMIRO,455,32097,0.022
RAMON,196,131307,0.09
RANDAL,477,29179,0.02
